player_id,full_name,status,position,team
6948,Leki Fotu,Active,DT,ARI
1893,Trey Hopkins,Active,C,CIN
7941,Nick Ralston,Active,FB,DAL
1472,D.J. Hayden,Active,CB,JAX
2750,DeAndre Carter,Active,WR,WAS
5429,Jeremiah Kolone,Active,OL,LAR
2020,Cairo Santos,Active,K,CHI
2306,Jameis Winston,Active,QB,NO
8004,Devon Key,Active,DB,KC
3838,Antonio Hamilton,Active,CB,TB
3347,Jake Rudock,Active,QB,MIA
617,Patrick Robinson,Active,CB,NO
2066,Zack Martin,Active,OG,DAL
6123,Greedy Williams,Active,CB,CLE
7666,Jevon Holland,Active,DB,MIA
5113,Cedrick Wilson,Active,WR,DAL
5045,Courtland Sutton,Active,WR,DEN
6785,Jeff Okudah,Active,CB,DET
1243,J.R. Sweezy,Active,OG,NO
5073,Sebastian Joseph-Day,Active,DT,LAR
7127,Shaun Bradley,Active,LB,PHI
7836,Tony Fields,Active,LB,CLE
5880,Parris Campbell,Active,WR,IND
2372,A.J. Cann,Active,OG,JAX
5423,Trenton Scott,Active,OT,CAR
6595,Devlin Hodges,Active,QB,LAR
7864,Artayvious Lynn,Active,TE,DAL
5051,Donte Jackson,Active,CB,CAR
7967,Lawrence White,Active,DB,TB
1506,Tress Way,Active,P,WAS
7828,Noah Gray,Active,TE,KC
7678,Joseph Ossai,Active,DE,CIN
3659,Anthony Lanier,Injured Reserve,DE,NO
2311,Leonard Williams,Active,DE,NYG
2336,Stephone Anthony,Active,LB,ARI
1885,Will Clarke,Active,DE,NO
5068,Kerryon Johnson,Active,RB,PHI
7488,Jonathan Hubbard,Active,OL,MIA
7797,Jaylen Twyman,Active,DT,MIN
4046,Patrick Mahomes,Active,QB,KC
3846,Duke Williams,Active,WR,BUF
1182,Josh Norman,Active,CB,BUF
1950,James Ferentz,Active,OL,NE
4101,Chris Wormley,Active,NT,PIT
2826,Troy Hill,Active,CB,CLE
7541,Cornell Powell,Active,WR,KC
7405,Michael Jacquet,Active,CB,PHI
ATL,ATL,,DEF,ATL
7294,Amari Henderson,Active,CB,MIN
2472,David Mayo,Active,LB,WAS
6129,Jerry Tillery,Active,DT,LAC
5827,Tevaughn Campbell,Active,CB,LAC
8048,Jaylon McClain-Sapp,Active,DB,KC
5285,Ross Dwelley,Active,TE,SF
5970,Greg Dortch,Active,WR,ARI
7801,Quinton Bohanna,Active,DT,DAL
7902,Calvin Bundage,Active,LB,PIT
7863,JaQuan Hardy,Active,RB,DAL
7024,James Smith-Williams,Active,DE,WAS
2839,Justin March,Active,LB,TEN
5911,Jalen Hurd,Active,WR,SF
4399,Eric Smith,Active,OT,DAL
3308,Matt Ioannidis,Active,DT,WAS
3743,Morgan Fox,Active,DE,CAR
1526,Datone Jones,Active,DT,LV
6007,Ryquell Armstead,Active,RB,NYG
2118,Eric Ebron,Active,TE,PIT
4449,Nicholas Morrow,Active,LB,LV
6542,Anthony Rush,Active,DT,TEN
2546,Darryl Roberts,Active,CB,WAS
5299,Greg Senat,Active,OT,CLE
2348,Benardrick McKinney,Active,LB,MIA
6205,Brandon Silvers,Active,QB,NYJ
650,Nick Folk,Active,K,NE
6183,Andrew Van Ginkel,Active,LB,MIA
6063,Tyron Johnson,Active,WR,LAC
6833,Bryce Hall,Active,CB,NYJ
1548,Star Lotulelei,Active,DT,BUF
7423,DeMarkus Acy,Inactive,CB,PIT
2961,David Andrews,Active,C,NE
7314,Dominik Eberle,Active,K,LV
3373,Will Parks,Active,DB,KC
4198,Jamal Agnew,Active,WR,JAX
3631,Aaron Neary,Active,C,SF
6770,Joe Burrow,Active,QB,CIN
2003,Bennie Fowler,Active,WR,SF
6863,Lavert Hill,Active,CB,PHI
7859,Nick Eubanks,Active,TE,DAL
6159,Mike Weber,Inactive,RB,NYG
658,Mike Nugent,Active,K,ARI
7429,Marcus Webb,Inactive,DE,SEA
1346,Marquise Goodwin,Active,WR,CHI
2724,Brandon King,Active,LB,NE
5977,Terry Godwin,Inactive,WR,JAX
4962,Sony Michel,Active,RB,NE
7945,Chris Garrett,Active,LB,LAR
TEN,TEN,,DEF,TEN
2554,Denzelle Good,Active,OL,LV
6739,Cameron Nizialek,Active,P,ATL
2275,Cassius Marsh,Active,DE,PIT
5347,Nyheim Hines,Active,RB,IND
2106,David Fales,Active,QB,NYJ
3272,Miles Killebrew,Active,LB,PIT
1066,George Iloka,Active,DB,MIN
4622,Keelan Cole,Active,WR,NYJ
3446,Joel Heath,Inactive,DE,DET
7629,Payton Turner,Active,DE,NO
7516,Hunter Niswander,Active,P,DAL
4214,Shelton Gibson,Active,WR,CAR
5645,Nick Gates,Active,C,NYG
4229,Mason Schreck,Active,TE,CIN
4476,Greg Mabin,Active,CB,TEN
7234,Maurice Ffrench,Active,WR,KC
4188,Damontae Kazee,Active,DB,DAL
4898,Chris Schneider,Active,OT,CLE
7762,James Wiggins,Active,DB,ARI
7681,Baron Browning,Active,LB,DEN
7337,Easop Winston,Active,WR,NO
4124,Ahkello Witherspoon,Active,CB,SEA
5797,Duplicate Player,Inactive,ILB,DEN
6284,Marcus Epps,Active,DB,PHI
6663,Micah Wright,Active,WR,NO
7523,Trevor Lawrence,Active,QB,JAX
4658,Jamal Perry,Active,CB,MIA
5548,Elijah Marks,Active,WR,KC
7583,Sam Ehlinger,Active,QB,IND
4716,Dan Skipper,Active,OT,DET
1048,Lamar Miller,Active,RB,WAS
3721,Josh Hawkins,Active,CB,DET
5277,Deon Yelder,Active,TE,WAS
7130,Cassh Maluia,Active,LB,NE
7308,Nick Bowers,Active,TE,LV
7010,Calvin Throckmorton,Active,OL,NO
1131,Dontari Poe,Active,DT,DAL
2341,T.J. Yeldon,Active,RB,BUF
6861,Nick Coe,Active,DE,MIA
6910,Darrell Taylor,Active,DE,SEA
4240,Jeremiah Ledbetter,Active,DT,TB
3598,Luke Rhodes,Active,LS,IND
6869,Adam Trautman,Active,TE,NO
7795,Rodarius Williams,Active,CB,NYG
7145,Jashon Cornell,Inactive,DT,DET
635,Mike Iupati,Active,G,SEA
7348,Dayan Lake,Active,DB,LAR
212,John Denney,Active,LS,NO
7908,Eric Burrell,Active,DB,NO
2860,Bryce Callahan,Active,CB,DEN
7815,K.J. Britt,Active,LB,TB
4095,Malik McDowell,Active,DT,CLE
5062,Mason Cole,Active,OL,MIN
4135,Trey Hendrickson,Active,DE,CIN
5020,B.J. Hill,Active,DT,NYG
7623,Darece Roberson,Active,WR,SEA
7045,Joshua Kelley,Active,RB,LAC
7504,De'Jon Harris,Active,LB,GB
6353,Troy Reeder,Active,LB,LAR
5273,Kamryn Pettway,Active,RB,MIN
7912,Trill Williams,Active,CB,MIA
5980,Myles Gaskin,Active,RB,MIA
5161,Ezekiel Turner,Active,LB,ARI
5107,Jaylen Samuels,Active,RB,PIT
2399,Ty Montgomery,Active,RB,NO
4342,Quincy Adeboyejo,Active,WR,NE
5233,Marcus Baugh,Active,TE,PIT
6363,Michael Walker,Active,WR,PHI
5762,Josh Smith,Active,WR,NO
2006,Matt Paradis,Active,C,CAR
3680,Patrick Onwuasor,Active,LB,NYJ
7121,Justin Rohrwasser,Active,K,NE
6321,Tim Ward,Active,DE,KC
7263,Steven Wirtel,Active,LS,LAR
6235,Kyle Phillips,Active,DT,NYJ
7767,Kary Vincent,Inactive,CB,DEN
5881,Nasir Adderley,Active,DB,LAC
4285,Robert Davis,Active,WR,LV
6588,Tom Kennedy,Active,WR,DET
4526,Krishawn Hogan,Active,WR,CAR
6554,Shawn Poindexter,Active,WR,SF
1338,Matt Barkley,Active,QB,BUF
5856,Cody Ford,Active,OL,BUF
5868,Greg Little,Active,OT,CAR
4234,Noah Brown,Active,WR,DAL
1510,Jordan Mills,Active,OT,BAL
6662,Parker Hesse,Active,TE,ATL
8019,Devontres Dukes,Active,WR,DEN
5905,Justin Layne,Active,CB,PIT
7585,Davis Mills,Active,QB,HOU
4141,Delano Hill,Active,DB,CAR
3550,Jarrod Wilson,Active,DB,JAX
2152,Teddy Bridgewater,Active,QB,DEN
7560,Pooka Williams,Active,RB,CIN
1722,Mike Remmers,Active,OT,KC
7644,Creed Humphrey,Active,OL,KC
3182,Shaq Lawson,Active,DE,HOU
815,Nick Bellore,Active,FB,SEA
7938,Hunter Kampmoyer,Active,TE,LAC
5014,Joseph Noteboom,Active,OL,LAR
5112,Bo Scarbrough,Active,RB,SEA
7151,Chris Williamson,Active,CB,ATL
4959,Scott Daly,Active,LS,DET
5416,Brandon Facyson,Active,CB,LAC
6454,Trevon Tate,Active,G,CLE
4125,Taywan Taylor,Inactive,WR,HOU
7672,Ernest Jones,Active,LB,LAR
5033,Dorian O'Daniel,Active,LB,KC
4122,Dan Feeney,Active,OL,NYJ
3207,Andrew Billings,Active,DT,CLE
7700,Joshua Kaindoh,Active,DE,KC
2338,Landon Collins,Active,DB,WAS
1702,Lane Taylor,Active,OL,HOU
775,Stephen Hauschka,Active,K,JAX
5965,Miles Boykin,Active,WR,BAL
6841,Jordan Elliott,Active,DT,CLE
6809,Trevon Diggs,Active,CB,DAL
963,Luke Stocker,Active,TE,TEN
497,Brett Kern,Active,P,TEN
7639,Rashawn Slater,Active,OT,LAC
4960,Roquan Smith,Active,LB,CHI
4286,Josh Harvey-Clemons,Active,LB,WAS
6247,Jason Moore,Active,WR,LAC
5740,Chucky Williams,Active,DB,LAR
4368,Hardy Nickerson,Active,LB,HOU
7669,Paulson Adebo,Active,CB,NO
5378,Jacob Martin,Active,LB,HOU
6029,Jackson Barton,Active,OT,NYG
5850,Josh Jacobs,Active,RB,LV
5026,Tre'Quan Smith,Active,WR,NO
4663,Austin Ekeler,Active,RB,LAC
1479,Keenan Allen,Active,WR,LAC
7657,Walker Little,Active,OT,JAX
7003,Damien Lewis,Active,G,SEA
4604,Eli Ankou,Active,DT,BUF
3345,Anthony Brown,Active,CB,DAL
7788,Victor Dimukeje,Active,DE,ARI
4189,Eric Saubert,Active,TE,DEN
2362,Rob Havenstein,Active,OL,LAR
7806,Hamsah Nasirildeen,Active,LB,NYJ
7343,Sam Renner,Active,DT,TB
4256,Ifeadi Odenigbo,Active,DE,NYG
444,Malcolm Jenkins,Active,SS,NO
5181,Chandon Sullivan,Active,CB,GB
3244,Shilique Calhoun,Active,LB,NE
6933,Raequan Williams,Active,DT,PHI
6409,Quinn Bailey,Active,OT,DEN
5105,Duplicate Player,Inactive,CB,NO
5490,Jashon Robertson,Active,OL,DAL
5375,Jordan Whitehead,Active,DB,TB
7481,Chase Harrell,Active,TE,SF
1902,Pierre Desir,Active,CB,SEA
3331,Jatavis Brown,Injured Reserve,LB,PHI
5127,Kyle Allen,Active,QB,WAS
4968,Tremaine Edmunds,Active,LB,BUF
6174,Chris Slayton,Active,DT,ATL
7195,John Daka,Active,DE,LAR
6744,Greg Ward,Active,WR,PHI
3297,Tajae Sharpe,Active,WR,ATL
7526,Jaylen Waddle,Active,WR,MIA
5386,Matthew McCrane,Active,K,CLE
7166,T.J. Carter,Active,DE,PIT
3545,Rashod Hill,Active,OT,MIN
289,Drew Brees,Active,QB,NO
1979,Blake Bortles,Active,QB,GB
6165,Antoine Wesley,Active,WR,ARI
3217,Jihad Ward,Active,DE,JAX
7344,Jonah Williams,Active,DE,LAR
5100,Jordan Wilkins,Active,RB,IND
7749,JR Pace,Active,DB,ATL
1834,Malcolm Butler,Active,CB,ARI
1039,Tavon Wilson,Active,DB,SF
2545,Geoff Swaim,Active,TE,TEN
4454,Kendrick Bourne,Active,WR,NE
1421,Chance Warmack,Voluntary Opt Out,G,SEA
6911,Brandon Jones,Active,DB,MIA
5659,John Atkins,Active,DT,ATL
5865,Dre'Mont Jones,Active,DE,DEN
4549,Rashaad Coward,Active,OT,PIT
5206,Trevor Daniel,Active,P,TEN
7021,Rico Dowdle,Active,RB,DAL
6808,Josh Jones,Active,OL,ARI
391,Ryan Succop,Active,K,TB
6426,Chandler Brewer,Active,OL,LAR
4985,Rashaad Penny,Active,RB,SEA
5520,Jonathan Owens,Active,DB,HOU
7449,Parnell Motley,Active,CB,DEN
3508,Marcus Henry,Active,C,ARI
5289,Cameron Batson,Active,WR,TEN
2420,Ibraheim Campbell,Active,DB,IND
7320,Dalton Schoen,Active,WR,KC
2133,Davante Adams,Active,WR,GB
6866,K.J. Hill,Active,WR,LAC
8053,Dareuan Parker,Active,OL,CHI
7027,Jared Mayden,Active,DB,SF
6145,Juan Thornhill,Active,DB,KC
1932,DaQuan Jones,Active,DT,CAR
7547,Amon-Ra St. Brown,Active,WR,DET
2433,Jon Feliciano,Active,OG,BUF
8038,Nick Guggemos,Active,TE,WAS
7991,Darius Stills,Active,DT,LV
3676,Trevon Coley,Active,DT,TEN
956,Mark Ingram,Active,RB,HOU
7116,Kevin Dotson,Active,OL,PIT
1961,Bryan Witzmann,Active,G,KC
1502,Chris Thompson,Active,RB,JAX
7643,Penei Sewell,Active,OT,DET
7413,John Molchon,Active,G,TB
